Latitude,Longitude,Distance,Depth,Cluster
27.91,-90.001,offshore,Deep,Cluster 3
27.91,-90.001,offshore,Deep,Cluster 3
27.91,-90.001,offshore,Deep,Cluster 3
26.997,-79.618,offshore,Deep,Cluster 3
26.997,-79.618,offshore,Deep,Cluster 3
26.997,-79.618,offshore,Deep,Cluster 3
22.734,-86.49,offshore,Deep,Cluster 3
22.734,-86.49,offshore,Deep,Cluster 3
22.734,-86.49,offshore,Deep,Cluster 3
27.5,-95.004,offshore,Deep,Cluster 3
27.5,-95.004,offshore,Deep,Cluster 3
27.5,-95.004,offshore,Deep,Cluster 3
19.609,-93.5,offshore,Deep,Cluster 3
19.609,-93.5,offshore,Deep,Cluster 3
19.609,-93.5,offshore,Deep,Cluster 3
27.737,-89.999,offshore,Deep,Cluster 3
27.737,-89.999,offshore,Deep,Cluster 3
27.737,-89.999,offshore,Deep,Cluster 3
26.059,-96.082,offshore,Deep,Cluster 3
26.059,-96.082,offshore,Deep,Cluster 3
26.059,-96.082,offshore,Deep,Cluster 3
22.971,-90.499,offshore,Deep,Cluster 3
22.971,-90.499,offshore,Deep,Cluster 3
22.971,-90.499,offshore,Deep,Cluster 3
26.994,-79.859,offshore,Deep,Cluster 3
26.994,-79.859,offshore,Deep,Cluster 3
26.994,-79.859,offshore,Deep,Cluster 3
21.633,-86.242,offshore,Deep,Cluster 3
21.633,-86.242,offshore,Deep,Cluster 3
21.633,-86.242,offshore,Deep,Cluster 3
24.735,-80.622,inshore,Deep,Cluster 3
24.735,-80.622,inshore,Deep,Cluster 3
24.735,-80.622,inshore,Deep,Cluster 3
29.463,-87.236,offshore,Deep,Cluster 3
29.463,-87.236,offshore,Deep,Cluster 3
29.463,-87.236,offshore,Deep,Cluster 3
25.658,-84.715,offshore,Deep,Cluster 3
25.658,-84.715,offshore,Deep,Cluster 3
25.658,-84.715,offshore,Deep,Cluster 1
23.088,-86.273,offshore,Deep,Cluster 3
23.088,-86.273,offshore,Deep,Cluster 3
23.088,-86.273,offshore,Deep,Cluster 3
27.584,-89.999,offshore,Deep,Cluster 3
27.584,-89.999,offshore,Deep,Cluster 3
27.584,-89.999,offshore,Deep,Cluster 3
28.701,-87.76,offshore,Deep,Cluster 3
28.701,-87.76,offshore,Deep,Cluster 3
28.701,-87.76,offshore,Deep,Cluster 3
25.574,-84.843,offshore,Deep,Cluster 3
25.574,-84.843,offshore,Deep,Cluster 3
25.574,-84.843,offshore,Deep,Cluster 3
22.276,-95.588,offshore,Deep,Cluster 3
22.276,-95.588,offshore,Deep,Cluster 3
22.276,-95.588,offshore,Deep,Cluster 3
26.221,-85.665,offshore,Deep,Cluster 3
26.221,-85.665,offshore,Deep,Cluster 3
26.221,-85.665,offshore,Deep,Cluster 3
28,-86.62,offshore,Deep,Cluster 3
28,-86.62,offshore,Deep,Cluster 3
28,-86.62,offshore,Deep,Cluster 3
26.058,-94.197,offshore,Deep,Cluster 3
26.058,-94.197,offshore,Deep,Cluster 3
26.058,-94.197,offshore,Deep,Cluster 3
26.888,-84.666,offshore,Deep,Cluster 3
26.888,-84.666,offshore,Deep,Cluster 3
26.888,-84.666,offshore,Deep,Cluster 3
20.601,-94.29,offshore,Deep,Cluster 3
20.601,-94.29,offshore,Deep,Cluster 3
20.601,-94.29,offshore,Deep,Cluster 3
23.183,-90.642,offshore,Deep,Cluster 3
23.183,-90.642,offshore,Deep,Cluster 3
23.183,-90.642,offshore,Deep,Cluster 3
28.866,-85.922,offshore,Deep,Cluster 3
28.866,-85.922,offshore,Deep,Cluster 3
28.866,-85.922,offshore,Deep,Cluster 3
26,-88,offshore,Deep,Cluster 3
26,-88,offshore,Deep,Cluster 3
26,-88,offshore,Deep,Cluster 3
24.4,-80.625,offshore,Deep,Cluster 3
24.4,-80.625,offshore,Deep,Cluster 3
24.4,-80.625,offshore,Deep,Cluster 3
22.274,-97.361,offshore,Deep,Cluster 3
22.274,-97.361,offshore,Deep,Cluster 3
22.274,-97.361,offshore,Deep,Cluster 3
24.517,-80.63,offshore,Deep,Cluster 3
24.517,-80.63,offshore,Deep,Cluster 3
24.517,-80.63,offshore,Deep,Cluster 3
