Latitude	Longitude	Depth	Synechococcus	Prochlorococcus	SAR86	Flavobacteriales	SAR11
deg	deg	m	abund	abund	abund	abund	abund
26.997	-79.618	1	10.37378995	13.79872053	6.45513769	3.336720004	38.93206329
27.004	-79.678	1	10.84145257	20.75860868	5.94601382	3.353488483	40.8207072
26.988	-79.778	1	10.27890613	13.40896961	6.387397375	3.93266519	39.10267721
26.994	-79.859	1	9.155414393	15.94746101	6.360115844	4.128915155	39.13378192
26.991	-79.933	1	10.62628212	14.0729995	6.136639854	4.060014183	40.34328058
26.991	-79.987	1	NA	NA	NA	4.087625395	40.25898405
26.995	-80.003	1	9.1243156	12.01566945	6.554633115	4.108773143	40.77679008
25.497	-80.024	1	10.83331875	3.513474356	6.054882551	4.804745717	38.25253339
26	-86	1	9.43114454	17.43489631	5.93873823	3.563243387	39.21358851
26.221	-85.665	1	7.121074672	19.38436972	6.942888617	3.768801585	41.06391851
26.444	-85.333	1	9.941936665	11.51236384	5.923453793	3.876925988	38.79420365
26.666	-85.003	1	9.703671888	8.983282923	6.848999492	4.283068508	39.86286479
27.112	-84.334	1	10.27087425	8.613050155	5.883306385	4.126229397	38.45686838
27.332	-84.004	1	10.02969306	13.18787778	6.150876047	3.916318162	38.92593207
27.555	-83.666	1	10.4483816	10.89809232	6.18629329	3.927094332	38.2434955
27.778	-83.332	1	10.10285804	10.89093476	6.38244553	3.802464397	39.41934434
28.014	-83.016	1	NA	NA	NA	3.627074398	36.750582
29.5	-85.378	1	20.9181332	1.16885115	3.692489131	6.223262133	39.4992931
29.378	-85.509	1	17.3923869	3.217216959	4.37937349	4.480107061	35.11788931
29.206	-85.647	1	14.20014767	4.414761147	4.437650296	4.554083787	36.90958172
29.038	-85.783	1	13.10853701	5.330138115	5.080942472	4.607813177	35.3066137
28.866	-85.922	1	10.16300878	8.34226667	5.501642344	4.252157734	37.50256673
28.689	-86.064	1	NA	NA	NA	4.088716103	36.48865797
28.516	-86.204	1	NA	NA	NA	4.398848326	36.29729318
28.344	-86.341	1	9.485322004	2.037281734	5.286363824	5.749850996	35.57109158
28.172	-86.481	1	13.80230426	2.136819424	4.800397177	5.475138743	37.76985972
28	-86.62	1	9.022638829	4.214595136	5.65539697	4.856270324	36.35138361
27.5	-86.81	1	9.891937107	2.881831819	5.631291532	4.88961469	35.60447056
